session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
1464,206,254,44,61,3,2,3,6,2,6,2
1465,3,631,2,731,631,731,22,20,731,20,2
1466,631,631,631,731,631,731,31,631,731,2622,2
1467,43,81,43,2622,631,731,731,22,631,631,2
1468,731,731,631,20,631,631,731,731,631,731,2
1469,631,631,731,731,1527,1527,1527,1527,1527,1527,2
1470,2,3,6,3,6,2,469,469,469,469,2
1471,469,469,469,469,469,2,3,6,3,6,2
1472,84,2,146,31,84,102,2297,84,146,386,2
1473,2297,813,302,102,84,386,302,386,84,386,2
1474,192,122,1990,5,2297,1362,102,146,544,102,2
1475,1321,386,1465,84,415,5,386,102,544,1809,2
1476,386,1321,415,146,415,544,45,6,22,122,2
1477,146,18,5,544,122,17,6,22,6,146,2
1478,418,22,125,10,20,6,10,418,22,53,2
1479,418,544,20,132,2,61,311,311,147,93,2
1480,61,71,22,22,150,20,46,71,665,150,2
1481,41,41,150,22,46,82,82,41,41,165,2
1482,274,99,274,82,511,44,99,97,44,274,2
1483,187,97,274,159,44,44,44,97,95,147,2
1484,274,71,147,156,71,44,274,274,147,274,2
1485,206,147,206,274,95,147,274,2,44,2,2
1486,71,274,274,2,554,554,2,554,554,31,2
1487,3707,13,45,554,38,18,2188,17,3,38,2
1488,19,38,5,19,159,274,274,554,95,274,2
1489,2,71,274,44,147,71,274,44,2,2,2
1490,950,648,2,648,45,648,6,17,45,18,2
1491,648,5,59,648,10,6,648,5,59,147,2
1492,950,10,44,274,71,44,274,95,71,44,2
1493,274,60,60,3,2,3,6,2,6,2,2
1494,3,62,54,54,143,54,86,62,54,86,2
1495,43,81,2,2,2,2,769,2,2,86,2
1496,54,62,2,62,2,86,62,54,2,2,2
1497,2,2,554,2,45,3063,13,31,554,17,2
1498,38,2803,3,2945,18,38,2671,3222,38,38,2
1499,5,192,19,38,19,2,183,2,770,2,2
1500,183,31,183,380,31,183,380,2946,2946,770,2
1501,183,380,183,183,183,183,183,380,183,183,2
1502,183,380,183,380,22,5,183,183,20,20,2
1503,489,183,489,489,489,183,183,183,380,183,2
1504,22,183,380,5,183,183,380,22,380,5,2
1505,183,183,380,183,20,183,380,5,22,183,2
1506,20,183,380,183,183,380,183,183,380,183,2
1507,183,183,183,380,5,183,380,183,22,183,2
1508,20,380,183,183,183,380,183,183,380,5,2
1509,22,183,20,183,380,183,183,380,5,22,2
1510,183,20,183,380,380,183,183,380,183,183,2
1511,380,22,183,5,183,183,380,183,183,380,2
1512,5,22,183,20,183,380,5,22,183,183,2
1513,20,380,183,183,380,183,183,380,183,22,2
1514,5,183,183,380,20,183,183,380,183,183,2
1515,380,5,183,22,183,380,20,183,183,183,2
1516,380,5,22,183,183,183,380,183,380,183,2
1517,183,20,380,183,380,183,183,380,183,22,2
1518,183,5,20,3,2,3,6,2,2,2,2
1519,2,2,3,2,6,43,81,477,2,477,2
1520,477,968,477,477,477,477,477,2,2,2,2
1521,3824,3904,2,64,2,64,64,3,64,2,2
1522,64,64,64,64,2,64,6,64,64,64,2
1523,64,64,2,6,2,1284,2,6,22,1284,2
1524,45,1284,18,22,17,5,20,1284,10,3,2
1525,20,6,6,1284,5,1284,17,10,18,1284,2
1526,17,20,2,45,2,2312,203,4851,2923,2312,2
1527,5,17,22,18,2923,2312,22,203,2526,5,2
1528,20,22,150,10,529,6,1948,1948,1070,2135,2
1529,1948,1070,46,1948,20,1644,1070,1644,2135,4439,2
1530,2404,1644,2404,1644,2135,1070,2404,1070,1644,4769,2
1531,46,46,6,10,22,46,1070,46,2,554,2
1532,554,554,3063,2,31,347,554,18,554,13,2
1533,2803,38,2945,5,3222,2671,3,17,38,38,2
1534,19,19,64,1517,2,2,1008,248,3,2,2
1535,2,5,1008,1980,6,1980,1008,377,377,1008,2
1536,171,171,377,2,64,3,64,2,64,64,2
1537,64,64,64,64,64,2,1517,2,3,2,2
1538,6,3,2,6,3,2,43,81,769,2,2
1539,2,2264,2,2264,2,2,311,61,132,61,2
1540,147,93,311,132,22,406,150,22,132,61,2
1541,41,150,45,61,17,5,18,132,20,132,2
1542,534,71,46,20,46,22,71,71,71,71,2
1543,71,665,41,46,41,82,82,41,41,165,2
1544,99,274,274,274,44,147,274,99,511,82,2
1545,44,44,71,274,147,97,187,274,44,274,2
1546,95,44,44,159,2286,97,71,511,2286,274,2
1547,71,44,99,41,147,147,44,274,231,95,2
1548,82,61,132,311,93,132,71,147,61,406,2
1549,17,534,41,20,18,132,5,71,536,82,2
1550,22,247,641,17,536,147,641,22,145,61,2
1551,18,435,5,71,20,255,572,5,20,5,2
1552,145,71,5,87,145,71,5,192,5,22,2
1553,20,87,466,145,71,251,1713,536,17,536,2
1554,5,18,71,5,20,22,5,5,128,859,2
1555,62,2,54,54,143,86,62,143,86,62,2
1556,1026,54,1026,54,1026,86,54,1026,62,1026,2
1557,54,1026,86,62,62,54,86,54,62,2,2
1558,209,365,426,62,2,74,365,452,31,73,2
1559,426,31,5,209,73,365,173,245,342,173,2
1560,173,365,45,17,18,5,762,4650,74,760,2
1561,244,74,860,31,580,760,2774,3,2,3,2
1562,88,2,420,901,2,420,715,420,1094,798,2
1563,420,193,337,420,128,204,420,22,17,18,2
1564,6,6,20,10,2087,1094,5,1094,10,6,2
1565,6,1094,1563,6,3,2,293,349,1688,3343,2
1566,1713,1121,901,2,420,420,715,342,420,204,2
1567,22,17,798,18,5,20,6,5,798,20,2
1568,1688,901,3421,1121,5,5,5,88,2,2,2
1569,2,2,2341,2,2,1714,31,2341,689,685,2
1570,479,50,18,17,1714,131,1714,2341,1714,1714,2
1571,88,2,2,2,2942,2,657,248,3265,2891,2
1572,2942,2891,3265,88,2,2,2,2,2,2,2
1573,2,2,2,88,1196,2,18,22,119,101,2
1574,316,31,1498,1196,6,17,20,6,2251,4284,2
1575,4222,2081,1196,316,1146,5,281,10,1196,2,2
1576,31,18,2703,17,2251,2081,2703,22,1929,316,2
1577,5,1146,281,6,970,1196,20,5,211,645,2
1578,482,741,455,40,1196,1196,1196,5,88,2,2
1579,2,2,1443,1443,203,1443,1443,4752,1443,10,2
1580,6,1443,203,529,2,88,2458,2,1654,840,2
1581,31,17,2287,22,316,1654,1598,2540,5,1840,2
1582,2458,490,18,4490,840,1530,490,10,6,840,2
1583,970,125,22,316,1598,1394,623,490,4241,832,2
1584,20,518,948,6,2,490,18,1654,518,948,2
1585,832,840,490,5,1598,1840,1654,17,316,840,2
1586,6,22,20,125,1654,5,5,5,5,5,2
1587,5,5,5,2,1530,88,2,2,2,2,2
1588,1016,2,45,1016,715,2,1016,1278,1158,2,2
1589,4221,872,3230,1016,18,17,5,22,6,1016,2
1590,1016,5,20,6,211,1016,715,10,22,1016,2
1591,1016,1016,88,2,2,88,2,2,88,2,2
1592,934,2,934,770,375,795,101,1675,209,934,2
1593,289,5,1608,22,209,225,1140,13,710,1140,2
1594,863,127,1608,20,216,87,710,127,38,13,2
1595,3,38,127,1214,1675,289,1675,19,40,38,2
1596,1214,934,934,22,38,13,3,1214,38,13,2
1597,7,13,1,7,1,1,7,1,1,87,2
1598,1,38,209,209,19,396,945,209,1,1,2
1599,13,1,1,19,209,209,766,945,396,396,2
1600,1,209,396,766,396,396,396,396,766,209,2
1601,396,396,766,396,396,396,209,766,396,375,2
1602,934,101,934,1608,5,225,710,87,458,289,2
1603,1675,710,22,40,87,375,934,101,934,5,2
1604,225,1608,863,1608,289,710,101,934,22,209,2
1605,289,3522,22,1675,127,5,1140,934,20,209,2
1606,22,1140,13,38,127,19,13,20,127,38,2
1607,40,209,934,38,945,209,396,209,19,209,2
1608,766,945,396,396,209,396,766,209,396,766,2
1609,396,396,766,396,766,396,209,766,3,2,2
1610,3,6,2,6,3,2,2,2,708,708,2
1611,2,708,708,43,81,708,708,2,2,88,2
1612,1678,1747,2,1747,13,277,229,1747,225,172,2
1613,1747,3712,38,19,45,6,22,1747,17,6,2
1614,18,19,10,20,3,6,22,6,10,5,2
1615,20,3,3,5,22,88,1884,2,800,2,2
1616,800,800,475,800,1884,5,1258,800,475,800,2
1617,475,475,800,475,800,475,5,128,859,800,2
1618,1884,475,5,211,800,342,251,1884,475,800,2
1619,800,475,800,173,475,245,800,475,800,475,2
1620,87,88,2,2,1698,31,355,2236,2236,18,2
1621,3082,34,355,17,355,2236,3082,3621,5,31,2
1622,6,355,10,355,1698,3042,2902,355,5,3042,2
1623,2902,355,5,5,5,5,355,2,2,88,2
1624,2,2,2,2,2,2,2,2,719,719,2
1625,17,173,20,173,150,31,6,20,2,88,2
1626,2,2,88,2,2,2,2,2,88,2,2
1627,2,2,2,2,2,2,3,2,6,3,2
1628,2,3,6,43,81,2,2,2,2,42,2
1629,42,2,2,2,29,29,1351,29,2,29,2
1630,29,2,29,29,2,2,29,2,29,29,2
1631,29,29,113,29,2,2,29,113,362,385,2
1632,96,91,385,91,96,362,362,385,91,96,2
1633,2,385,91,362,96,2,2,818,362,385,2
1634,91,96,385,113,818,91,96,385,2,818,2
1635,362,96,91,362,2,385,362,91,2,96,2
1636,96,362,91,385,385,91,362,385,91,96,2
1637,96,2,385,91,362,385,362,91,96,385,2
1638,362,385,129,91,96,113,133,139,129,113,2
1639,2,129,139,133,2,113,2,113,113,113,2
1640,113,139,133,129,129,139,129,139,2,139,2
1641,133,113,129,133,113,139,2,129,2,2,2
1642,25,25,25,25,25,25,25,25,25,25,2
1643,25,25,2,2,2,440,698,347,438,429,2
1644,440,347,2656,1156,429,438,438,1831,429,698,2
1645,1342,1156,440,2070,440,429,5,518,518,440,2
1646,438,518,708,708,2,708,708,708,708,708,2
1647,708,963,3,13,38,963,19,38,963,13,2
1648,13,14,1,14,1,14,1,1,1,14,2
1649,14,1,14,1,14,14,1,1,14,14,2
1650,1,14,1,1,13,1,38,1,1,1,2
1651,1,1,1,1,963,963,963,963,963,963,2
1652,963,963,708,708,708,627,627,627,627,627,2
1653,627,627,627,627,627,1479,2400,31,860,1479,2
1654,2400,4765,45,2400,1479,19,1479,18,5,13,2
1655,17,38,13,3,1479,3,5,2,1479,627,2
1656,627,627,627,627,3,38,3847,627,627,627,2
1657,627,5,22,20,627,20,2,2,88,2,2
1658,88,2,2151,45,2151,2,17,18,2151,5,2
1659,2,88,2,2,2,54,143,62,86,54,2
1660,62,2,62,86,62,54,2,88,2,2,2
1661,2,2008,1227,229,277,2008,991,991,5,6,2
1662,18,22,17,6,20,10,22,6,2008,2,2
1663,6,20,17,22,2008,18,10,5,20,6,2
1664,2,2,1095,1592,2424,88,3121,1095,2424,45,2
1665,18,13,1095,1592,2515,1095,192,2515,17,4635,2
1666,6,19,1095,3,128,535,6,1668,1095,1592,2
1667,1304,2424,1095,10,10,6,2515,337,172,5,2
1668,1095,639,1236,1955,172,316,1246,316,970,2,2
1669,3121,1304,1592,1095,18,13,17,19,204,10,2
1670,342,349,172,246,639,594,4698,193,5,293,2
1671,22,1751,5,1592,970,20,13,1,11,19,2
1672,38,11,1,1,1,11,11,1,13,1,2
1673,13,19,19,11,1,11,1,11,1,11,2
1674,19,11,11,1,1,11,11,1,11,11,2
1675,1,19,11,1,11,11,1,1,1,1,2
1676,11,1,11,11,13,1,11,11,11,1,2
1677,1,11,11,11,1,1,11,11,11,1,2
1678,11,1,1,1,1,1,1,11,11,11,2
1679,1,11,1,11,11,1,1,19,1,13,2
1680,1,1,5,5,5,2,2264,2,2,238,2
1681,2,88,238,13,238,6,13,238,3,238,2
1682,88,238,2,469,13,2,469,469,469,469,2
1683,469,469,2,6,3,1689,6,3,2,1689,2
1684,2,5,3,3,3,81,43,2,3,2,2
1685,10,2,10,6,2,2,2,78,78,6,2
1686,6,78,2,2,3,6,537,3,2,343,2
1687,1825,1450,1450,1450,1450,1450,1450,2756,3,2,2
1688,2756,2079,3,2,3,2,2079,2079,2079,3,2
1689,2,445,445,445,2,2,3,6,478,2,2
1690,3,2,478,6,478,478,2,3,1346,2,2
1691,1346,1346,1346,3,1346,10,6,81,43,43,2
1692,6,10,11,38,13,153,2,38,78,38,2
1693,1,192,13,19,78,19,13,38,6,3,2
1694,13,11,1,11,13,38,3,19,11,11,2
1695,1,13,1,1,11,11,1,38,11,15,2
1696,11,1,1,11,11,19,78,1,1,1,2
1697,1,1,1,1,1,1,1,1,1,13,2
1698,1,1,1,1,1,1,1,1,1,1,2
1699,1,1,11,1,1,1,1,38,19,1,2
1700,1,1,13,1,1,19,19,75,75,6,2
1701,75,38,19,13,78,38,38,38,1,13,2
1702,11,153,13,2,153,13,14,13,19,2,2
1703,13,19,140,38,1,13,14,140,1,19,2
1704,1,13,1,14,13,1,19,14,75,1,2
1705,14,1,1,15,38,19,14,75,1,2,2
1706,13,2,8,153,13,1,19,2,13,1,2
1707,8,8,13,1,8,1,13,8,1,8,2
1708,1,8,8,1,1,8,8,8,19,1,2
1709,1,1,1,1,1,1,1,1,1,1,2
1710,1,78,13,8,19,1,15,38,2,2,2
1711,2,1449,1449,1449,2,1449,2,2,869,2,2
1712,869,869,869,869,869,869,13,19,1,1,2
1713,8,1,8,1,1,19,13,1,1,1,2
1714,1,445,445,43,2,6,3,2,478,3,2
1715,6,478,478,478,43,81,478,478,478,2,2
1716,2,2,3,1346,1346,3,6,10,6,39,2
1717,6,10,2,39,2,2,39,39,256,1171,2
1718,1171,445,2,6,3,478,2,3,478,6,2
1719,2,478,478,43,39,39,445,445,445,2,2
1720,6,3,2,2,869,6,3,2,869,869,2
1721,869,43,2,2,2,1261,2,1261,2,869,2
1722,869,2,2,2,1261,1261,1261,3473,2,1261,2
1723,1261,39,39,1171,1171,445,445,445,2,2,2
1724,3,6,2,3,6,2,61,147,311,132,2
1725,93,147,22,22,5,17,132,45,192,18,2
1726,41,61,71,5,132,71,71,71,71,1000,2
1727,1000,22,534,145,641,247,61,17,435,641,2
1728,247,5,282,147,5,255,572,71,20,493,2
1729,22,5,282,20,20,145,282,71,282,282,2
1730,145,282,71,20,641,282,1000,247,61,145,2
1731,22,5,18,22,282,61,1000,435,45,247,2
1732,697,17,641,22,20,282,445,5,71,255,2
1733,5,20,45,22,20,145,20,282,282,71,2
1734,145,20,282,71,145,282,71,145,282,71,2
1735,282,145,71,43,81,41,1000,641,41,282,2
1736,1000,145,3452,641,20,17,5,71,2560,282,2
1737,5,5,20,165,20,41,20,165,44,996,2
1738,99,274,274,44,511,95,996,97,274,97,2
1739,159,274,274,187,44,2675,781,334,781,95,2
1740,511,274,60,60,39,445,445,2,2,6,2
1741,3,2,6,132,2,61,3,147,93,61,2
1742,311,22,132,17,5,22,18,45,132,61,2
1743,71,5,41,132,665,71,41,22,534,41,2
1744,82,82,41,41,44,165,996,99,511,996,2
1745,44,274,95,274,274,159,97,97,187,44,2
1746,781,3505,95,147,71,43,44,274,274,274,2
1747,206,147,2,2,2,2,2,2,206,274,2
1748,2,2,2,2,2,2,2,274,206,274,2
1749,206,274,511,4845,274,781,334,44,95,39,2
1750,39,39,39,39,39,39,39,43,2,3,2
1751,6,2,3,2,2,6,3,2,10,3,2
1752,2,6,10,2,2,2,2,2,3,6,2
1753,2,6,3,2,78,2,78,6,78,2,2
1754,2,2,1657,1657,1657,1657,1657,39,39,39,2
1755,39,39,39,445,445,2,6,3,2,61,2
1756,132,311,6,3,147,61,311,5,22,132,2
1757,93,18,192,41,17,132,71,5,61,45,2
1758,911,665,71,41,534,41,82,82,41,165,2
1759,44,996,274,99,996,44,44,511,95,159,2
1760,44,147,274,97,97,71,274,147,187,274,2
1761,44,71,147,81,43,147,2286,511,274,43,2
1762,274,274,99,256,99,274,44,206,274,2,2
1763,2,554,2,554,554,2,554,13,31,2,2
1764,554,38,554,3455,3330,17,5,3654,3737,45,2
1765,3,38,38,19,206,274,2,2,31,236,2
1766,236,2,236,31,236,236,236,236,236,236,2
1767,236,236,236,236,236,236,236,236,236,236,2
1768,236,236,236,236,236,236,236,236,236,236,2
1769,236,236,236,236,236,236,236,236,236,236,2
1770,236,236,236,236,236,236,236,236,236,236,2
1771,236,236,236,236,236,236,236,236,236,236,2
1772,236,236,236,236,236,236,236,236,236,236,2
1773,236,236,236,236,274,206,274,206,274,95,2
1774,445,445,445,445,2,2,6,3,2,6,2
1775,480,2,2,1814,3,2,480,248,1173,1814,2
1776,1865,3212,280,3429,5,280,3426,480,1101,225,2
1777,969,1814,1031,22,6,1173,1101,969,1865,3212,2
1778,45,22,280,762,225,18,6,17,45,1814,2
1779,6,225,10,280,20,5,6,10,280,20,2
1780,39,39,256,445,445,43,43,81,445,445,2
1781,1171,1171,39,39,0,0,0,0,0,0,2
1782,548,219,219,1407,322,322,322,60,60,267,3
1783,15,72,15,322,205,85,107,80,205,2,3
1784,67,263,263,205,263,205,205,322,322,205,3
1785,80,263,263,6,3,2,995,50,31,34,3
1786,689,685,50,34,45,50,17,18,34,50,3
1787,131,34,131,50,5,34,5,337,37,23,3
1788,23,50,34,34,34,80,34,34,34,34,3
1789,34,34,34,34,34,34,34,266,50,34,3
1790,34,50,34,50,18,17,34,131,50,5,3
1791,34,50,5,39,34,4813,3114,3114,1697,34,3
1792,1697,5,5,1848,34,575,1057,13,1167,575,3
1793,38,18,1167,50,34,17,575,34,1167,34,3
1794,1293,50,34,131,1293,5,575,1057,575,50,3
1795,38,13,19,50,304,5,34,50,5,34,3
1796,50,266,34,273,5,50,34,50,5,18,3
1797,50,17,15,128,131,34,204,50,5,50,3
1798,34,266,260,50,18,17,50,34,34,131,3
1799,50,5,50,5,67,50,173,50,304,5,3
1800,34,50,50,85,575,575,304,1057,5,425,3
1801,4,15,15,52,15,2,27,21,3,4,3
1802,30,10,33,51,24,6,39,539,41,185,3
1803,185,52,41,52,309,82,185,41,41,185,3
1804,185,85,85,41,249,187,215,82,4339,215,3
1805,743,743,743,743,41,743,215,743,215,743,3
1806,743,743,165,743,70,334,44,286,743,44,3
1807,70,70,70,70,743,743,743,159,99,488,3
1808,156,97,97,743,743,215,41,215,185,41,3
1809,4376,925,165,41,215,215,215,41,70,231,3
1810,82,405,4694,116,488,116,405,44,116,99,3
1811,70,70,97,4640,249,159,95,156,464,70,3
1812,60,60,267,81,268,268,268,81,164,268,3
1813,182,168,161,312,164,61,43,81,268,81,3
1814,268,81,268,268,39,39,256,69,160,67,3
1815,37,23,15,72,15,112,15,141,2,15,3
1816,67,3,6,2,80,85,72,15,2,15,3
1817,112,141,425,15,4,539,41,107,185,52,3
1818,52,41,309,82,15,41,185,41,185,185,3
1819,52,85,85,82,41,187,215,215,107,107,3
1820,37,23,39,165,99,286,70,2,70,95,3
1821,41,187,334,41,70,231,2,2,82,39,3
1822,44,70,70,44,70,97,70,159,286,156,3
1823,30,2276,33,6,97,249,95,464,3,27,3
1824,10,4,21,69,69,160,287,23,37,241,3
1825,241,241,37,23,23,37,23,141,112,141,3
1826,69,69,160,287,287,39,39,67,15,72,3
1827,15,112,15,2,141,15,37,23,23,3,3
1828,6,2,80,85,52,52,539,107,185,41,3
1829,52,52,41,309,82,185,41,185,41,185,3
1830,85,85,41,215,215,187,82,165,159,734,3
1831,70,334,70,286,70,44,99,70,44,156,3
1832,95,249,97,70,734,70,44,37,23,23,3
1833,156,99,70,70,44,226,70,70,44,226,3
1834,44,70,226,226,226,37,23,112,141,215,3
1835,215,286,41,231,70,82,226,70,44,95,3
1836,464,69,69,160,52,3,15,3,3,1685,3
1837,22,45,5,18,17,15,1685,72,22,1685,3
1838,15,107,37,23,20,23,23,23,23,210,3
1839,472,2,88,88,88,88,2,88,88,88,3
1840,2,2,88,2,177,3,5,64,15,3,3
1841,128,3,15,64,2,2,3,1602,31,4421,3
1842,1602,3,1602,23,23,23,23,23,23,23,3
1843,6,6,10,88,88,88,88,2,88,2,3
1844,177,3,5,64,204,3,15,64,1602,3,3
1845,2,343,3,343,3,1602,105,472,2,88,3
1846,88,88,2,88,2,62,54,62,54,143,3
1847,52,86,54,62,143,2584,2748,3297,15,3,3
1848,3,4,15,3,4,4,3,15,112,3,3
1849,141,260,10,27,6,3,4,15,72,15,3
1850,15,492,2,22,3203,45,515,453,453,246,3
1851,1852,1186,13,720,18,1186,38,5,515,1250,3
1852,2983,547,871,1846,18,112,17,1852,38,22,3
1853,1186,5,1250,492,982,1250,13,1846,417,1746,3
1854,38,5,1949,1746,1250,107,15,1746,492,20,3
1855,492,37,23,23,3,2,213,6,10,13,3
1856,38,492,515,492,515,17,5,18,3,15,3
1857,251,20,492,492,45,515,22,492,515,5,3
1858,17,492,18,5,260,173,20,492,492,515,3
1859,204,515,5,492,5,18,17,20,492,492,3
1860,515,492,5,515,5,18,17,193,20,492,3
1861,492,515,515,515,492,18,5,17,5,20,3
1862,492,492,515,515,515,18,17,5,492,20,3
1863,37,23,23,492,45,515,80,5,515,17,3
1864,5,18,492,515,20,492,515,515,466,5,3
1865,17,5,18,492,20,22,492,515,5,515,3
1866,17,492,515,18,5,20,3,15,15,3,3
1867,4,72,15,15,4,15,3,31,107,3409,3
1868,17,3,18,5,6,45,3,3257,15,22,3
1869,3257,15,436,17,18,5,436,107,436,436,3
1870,20,45,37,23,23,23,23,23,260,141,3
1871,4,6,112,23,23,23,27,3,23,23,3
1872,23,23,23,10,1011,436,436,52,436,436,3
1873,436,436,436,436,436,436,436,436,436,436,3
1874,436,436,436,436,2,3,3,2,15,3,3
1875,3,2398,2398,1200,2398,3,777,777,777,777,3
1876,436,436,436,436,10,27,6,4,37,23,3
1877,23,23,15,15,15,15,15,15,15,3,3
1878,15,3,58,31,3,136,58,777,3,58,3
1879,136,2367,103,136,2367,103,103,2367,3,3,3
1880,58,136,3,15,15,15,15,3,15,3,3
1881,58,136,58,436,436,436,436,436,436,436,3
1882,436,436,60,60,267,39,15,72,2,15,3
1883,141,112,15,67,39,3,23,37,6,2,3
1884,23,80,85,5,3,2,105,105,173,105,3
1885,3,2,27,21,10,3,30,51,33,6,3
1886,205,205,205,3,4,21,10,27,205,205,3
1887,205,205,205,205,3,2,60,60,267,39,3
1888,39,256,37,23,23,67,80,287,85,52,3
1889,1171,1171,287,287,287,37,23,23,15,72,3
1890,2,241,2212,241,1662,241,854,1611,287,854,3
1891,67,67,581,2,15,141,112,6,981,981,3
1892,2567,181,101,179,179,40,181,40,40,179,3
1893,181,40,40,40,181,179,3,2,181,40,3
1894,981,179,179,40,40,981,981,40,181,179,3
1895,101,981,181,40,179,40,81,268,268,268,3
1896,1203,81,164,312,164,161,168,182,5,164,3
1897,192,61,43,81,39,287,287,39,210,23,3
1898,37,23,72,15,15,263,2,263,263,80,3
1899,80,263,539,185,107,41,185,52,309,52,3
1900,41,82,41,185,41,185,185,85,41,187,3
1901,215,82,6,3,2,165,99,286,159,334,3
1902,44,44,70,70,70,97,70,97,95,249,3
1903,156,237,66,49,70,99,2533,1082,1380,1082,3
1904,1380,1082,1380,1082,837,45,17,2,18,3,3
1905,4089,557,543,543,231,1082,3,17,2,837,3
1906,1380,15,85,18,1082,4797,212,358,44,70,3
1907,70,70,2533,17,837,1082,1380,45,3,2,3
1908,18,4172,1082,1380,837,18,3,2,17,4200,3
1909,3647,2533,1082,6,770,5,22,15,5,22,3
1910,508,5,67,107,17,203,5,45,18,204,3
1911,508,15,193,349,5,203,5,529,260,128,3
1912,565,251,18,5,17,683,508,293,5,565,3
1913,5,795,337,17,18,795,1968,203,565,5,3
1914,489,1968,173,1553,1138,5,31,501,18,501,3
1915,17,2425,70,70,70,44,5,565,1553,70,3
1916,20,70,5,5,18,17,128,865,204,211,3
1917,5,501,5,508,1790,501,5,3761,18,17,3
1918,1818,128,2625,5,128,204,5,565,2625,128,3
1919,3,2,211,793,128,128,3516,99,10,6,3
1920,70,44,99,37,23,237,66,49,23,37,3
1921,23,67,15,581,67,72,2,31,58,3,3
1922,58,136,3,6,2,85,107,185,185,185,3
1923,41,215,215,185,70,231,309,52,52,82,3
1924,99,70,286,95,464,1407,322,322,322,205,3
1925,85,80,205,205,205,205,37,205,205,205,3
1926,322,322,205,37,23,69,69,160,287,287,3
1927,15,72,15,2,141,15,112,37,15,23,3
1928,23,3,6,2,39,263,2,263,263,80,3
1929,80,263,80,539,41,107,185,185,41,52,3
1930,309,82,41,185,41,185,85,85,41,215,3
1931,187,215,82,3,2,3002,2,1570,817,817,3
1932,628,817,817,628,149,1739,76,817,628,298,3
1933,521,76,817,165,286,70,159,334,76,41,3
1934,70,231,99,97,97,82,76,39,70,734,3
1935,70,70,249,15,4,425,44,70,44,286,3
1936,156,95,464,2,31,67,3,6,21,4,3
1937,539,41,41,4,82,41,41,215,165,44,3
1938,44,70,44,70,99,159,734,3,6,21,3
1939,15,70,97,95,249,85,70,21,10,27,3
1940,30,6,3,33,52,99,23,37,23,66,3
1941,49,41,231,82,2,58,31,3,58,58,3
1942,136,5,44,99,49,66,95,464,49,66,3
1943,6,3,2,49,66,66,49,37,23,23,3
1944,66,49,49,66,49,66,37,23,23,15,3
1945,72,141,112,15,2,2012,1966,3101,2,701,3
1946,103,2757,2664,103,136,3,701,260,15,2,3
1947,15,173,51,3,10,27,4,21,80,80,3
1948,263,263,88,3,2,49,66,539,185,41,3
1949,107,52,41,52,309,15,72,15,37,23,3
1950,82,23,185,41,41,185,185,2,263,263,3
1951,263,85,263,85,41,187,215,210,82,165,3
1952,70,44,286,334,99,159,70,70,97,95,3
1953,249,263,97,80,187,80,1407,322,322,322,3
1954,205,205,85,205,6,205,156,44,286,44,3
1955,205,70,70,70,70,205,3,2,205,156,3
1956,156,322,322,39,205,70,263,263,995,50,3
1957,31,34,685,18,45,50,689,34,2203,17,3
1958,131,34,50,218,52,50,5,5,34,5,3
1959,50,34,34,34,34,34,34,34,34,34,3
1960,34,34,34,34,34,34,273,34,34,34,3
1961,5,273,50,260,349,34,131,15,5,34,3
1962,34,173,50,266,50,34,1058,131,193,50,3
1963,50,273,34,3936,543,259,259,99,70,50,3
1964,6,44,70,50,304,5,50,3002,1570,2,3
1965,2591,4864,2591,1663,41,70,231,149,149,1605,3
1966,149,76,521,76,298,82,45,17,18,5,3
1967,44,70,149,76,149,149,149,76,76,149,3
1968,149,149,149,76,76,149,149,76,5,2,3
1969,3,76,6,95,464,76,2,3,76,76,3
1970,76,817,31,817,628,628,149,817,76,1739,3
1971,628,817,76,817,76,817,76,1972,628,817,3
1972,76,817,149,76,149,76,149,76,76,149,3
1973,76,76,2,1430,1430,3070,3174,2006,18,2821,3
1974,45,22,2006,17,1430,52,3070,2821,3551,1430,3
1975,13,38,3879,2006,13,1430,38,5,2006,1430,3
1976,3174,185,3722,4745,4391,4528,3978,5,4256,185,3
1977,76,2085,2266,2085,2266,2266,2085,2818,2085,2818,3
1978,3131,3131,2,770,5,22,15,508,1968,683,3
1979,22,204,107,293,489,128,20,2943,672,1556,3
1980,5,3,203,5,31,22,45,18,3272,3,3
1981,672,17,203,529,565,672,5,535,565,672,3
1982,672,37,128,672,5,18,17,565,672,18,3
1983,17,5,672,1110,565,672,204,5,5,508,3
1984,1138,20,2120,5,67,340,340,5,340,508,3
1985,87,216,251,340,20,3077,2626,340,340,3,3
1986,2,10,6,2,860,492,3203,515,211,31,3
1987,209,515,453,5,1790,246,17,5,492,18,3
1988,515,209,209,766,2365,2162,2359,2233,1902,1924,3
1989,2472,2365,45,1902,2162,2472,2359,2661,1924,2233,3
1990,244,580,697,760,452,2365,1924,1440,1902,18,3
1991,2359,2472,2661,2162,17,5,1364,1902,5,1924,3
1992,2233,22,26,337,20,2,673,673,5,67,3
1993,673,209,673,673,6,10,673,3,2,673,3
1994,673,673,23,37,673,673,673,673,673,673,3
1995,673,673,673,673,2,263,263,263,2,3,3
1996,39,60,60,267,15,15,72,2,263,263,3
1997,80,80,67,263,263,1407,322,322,322,205,3
1998,107,85,205,205,205,205,205,322,322,205,3
1999,6,2,3,685,689,34,31,50,995,18,3
